listing_id,date
50341457,2022-05-30
50341457,2022-06-03
50341457,2022-07-08
50341457,2022-07-11
50341457,2022-07-14
50341457,2022-07-18
50341457,2022-07-22
50341457,2022-08-02
50341457,2022-08-08
50341457,2022-08-13
50341457,2022-08-20
50341457,2022-08-24
50341457,2022-08-28
50341457,2022-09-03
50341457,2022-10-01
50341457,2022-10-04
50341457,2022-10-08
50341457,2022-10-12
50341457,2022-10-14
50341457,2022-10-20
50341457,2022-10-29
50341457,2022-11-03
50341457,2022-11-11
50341457,2022-11-21
50341457,2022-11-27
50341457,2022-12-01
50341457,2022-12-06
50341457,2022-12-10
50341457,2022-12-21
50341457,2023-01-04
50341457,2023-01-08
50341457,2023-01-15
50341457,2023-01-19
50341457,2023-01-21
50341457,2023-01-29
50341457,2023-02-02
50341457,2023-02-09
50341457,2023-02-16
50341457,2023-02-20
50341457,2023-02-23
50341457,2023-02-27
50341457,2023-03-02
50341457,2023-03-05
50341457,2023-03-10
50341457,2023-03-13
50341457,2023-03-20
50341457,2023-03-22
50341457,2023-03-25
50341457,2023-04-04
50341457,2023-04-08
50341457,2023-04-12
50341457,2023-04-17
50341457,2023-04-19
50341457,2023-04-22
50341457,2023-05-01
50341457,2023-05-13
50341457,2023-05-24
50341457,2023-05-29
50341457,2023-06-04
50341457,2023-06-08
50341457,2023-06-12
50341457,2023-06-14
50341457,2023-06-18
50341457,2023-06-24
50341457,2023-06-28
50341457,2023-07-02
50341457,2023-07-06
50341457,2023-07-10
50341457,2023-07-13
50341457,2023-07-20
50341457,2023-08-04
50341457,2023-08-08
50341457,2023-08-19
50341457,2023-08-22
50341457,2023-08-26
50341457,2023-08-29
50341457,2023-09-03
50341457,2023-09-05
50341457,2023-09-09
50341457,2023-09-14
50341457,2023-09-19
50341457,2023-09-21
50341457,2023-09-25
50341457,2023-09-29
50341457,2023-10-03
50341457,2023-10-07
50341457,2023-10-11
50341457,2023-10-15
50341457,2023-10-17
50341457,2023-10-20
50341457,2023-10-26
50341457,2023-11-02
50341457,2023-11-09
50341457,2023-11-23
50341457,2023-12-04
50341457,2023-12-13
50341457,2023-12-16
50341457,2023-12-21
50341457,2024-01-02
50341457,2024-01-05
50341457,2024-01-09
50341457,2024-01-14
50341457,2024-01-19
50341457,2024-01-23
50341457,2024-01-28
50341457,2024-01-31
50341457,2024-02-02
50341457,2024-02-06
50341457,2024-02-11
50341457,2024-02-17
50341457,2024-02-20
50341457,2024-02-28
50341457,2024-03-07
50341457,2024-03-10
50341457,2024-03-14
50341457,2024-03-17
50341457,2024-03-20
50341457,2024-03-26
50341457,2024-03-31
50341457,2024-04-03
50341457,2024-04-07
50341457,2024-04-16
50341457,2024-04-21
50341457,2024-04-24
50341457,2024-04-29
50341457,2024-05-05
50341457,2024-05-14
50341457,2024-05-18
50341457,2024-05-31
50341457,2024-06-06
50341457,2024-06-20
50341457,2024-06-23
50341457,2024-06-27
