id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1213654252977766763,Oulang Φιλόξενο διαμέρισμα στην Αθήνα,593506340,Enbao,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96489272924209,23.722782131877114,Entire home/apt,84,1,0,,,4,165,0,00002876950
1213659142307678781,Charming room Exarchia (Private),590550228,Jason,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.986011492982286,23.727279552600223,Private room,,3,1,2024-09-13,1,3,0,1,10432854637
1213671392266042261,Athens DAR: Modern apartment with balcony,482752817,HAUSolutions,,ΠΕΤΡΑΛΩΝΑ,37.9720425,23.7107477,Entire home/apt,67,2,1,2024-09-13,1,19,361,1,00002832841
1213677471798042713,Cosy Garden Studio in central location,113353393,Harry,,ΝΕΟΣ ΚΟΣΜΟΣ,37.95618160047503,23.71922182246909,Entire home/apt,63,1,0,,,75,360,0,00002089195
1213690270306654069,Acropolis Muses - Polymnia   Terpsichori,349458522,TravelStaytion,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9784,23.72975,Entire home/apt,406,2,0,,,15,203,0,00002831568
1213692049912893204,Athens Nuovo Mondo 2,569041623,Niu,,ΝΕΟΣ ΚΟΣΜΟΣ,37.9577488,23.7268908,Entire home/apt,92,2,3,2024-08-18,1.84,7,320,3,00002831270
1213693440417978213,Athens Penthouse Boutique Aparthotel Suite No 5,431468257,Κωνσταντίνος,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9819262,23.7298238,Private room,216,1,0,,,11,352,0,1364564
1213713190407721605,Athens Cozy exquisite 1BD Apt with Acropolis View,584618063,Wellhwa,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.960821,23.7201471,Entire home/apt,48,1,0,,,8,343,0,Exempt
1213717754125686478,Athens Koukaki comfort 1BD Apt with Acropolis View,584618063,Wellhwa,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.960821,23.7201471,Entire home/apt,44,1,0,,,8,359,0,Exempt
1213724377438909205,Athens Comfortable and warm 1BD Apt Near Merto,584618063,Wellhwa,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.960821,23.7201471,Entire home/apt,45,1,1,2024-09-08,1,8,351,1,Exempt
1213729318880653288,Athens Koukaki Warm and elegant 1BD Apt Near Metro,584618063,Wellhwa,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.960821,23.7201471,Entire home/apt,40,1,0,,,8,355,0,Exempt
1213736593320340680,Athens Elegant and refined 1BD Apt Near Merto,584618063,Wellhwa,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.960821,23.7201471,Entire home/apt,39,1,2,2024-09-08,2,8,348,2,Exempt
1213743046170337386,Athens Cozy Spacious 1BD Apt Near Sygrou-Fix Metro,584618063,Wellhwa,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.960821,23.7201471,Entire home/apt,40,1,1,2024-09-07,1,8,346,1,Exempt
1213753983409585565,雅典温馨优雅 1 卧公寓近 Statue of Athena & Biktṓria 地铁站,584618063,Wellhwa,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.9950996,23.7269668,Entire home/apt,41,1,0,,,8,338,0,Exempt
1213777964823858483,Athens Penthouse Boutique Aparthotel Suite No 6,431468257,Κωνσταντίνος,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.98114,23.7302,Private room,216,1,0,,,11,359,0,1364564
1213835693278188723,Sunny Gem 3 Minutes Away From Acropolis Museum,208071161,Victoras,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.9683585,23.7260264,Entire home/apt,147,3,2,2024-09-15,1.54,2,361,2,00002818993
